"","speaker","plays","count_speaker","count_plays"
"1",".","ARTAXERXES et Heroisk Skuespill udi Tre ACTER.",1,1
"2","1.","Den politiske kandestøber Komedie",8,1
"3","1. advokat","Barselsstuen Komedie, Den politiske kandestøber Komedie, Den stundesløse Komedie i 3 akter, Jeppe på Bjerget eller Den forvandlede bonde",87,4
"4","1. advokat/anklageren","Barselsstuen Komedie, Den politiske kandestøber Komedie, Jeppe på Bjerget eller Den forvandlede bonde",30,3
"5","1. akt�r","Hekseri eller blind alarm Komedie i 5 akter",1,1
"6","1. bonde","Melampe Tragikomedie",15,1
"7","1. dame","Barselsstuen Komedie",50,1
"8","1. doktor","Jeppe på Bjerget eller Den forvandlede bonde",7,1
"9","1. filosof","Sganarels rejse til det filosofiske land Komedie i 1 akt hvori skæmtes med de gamle filosofiske sekter",3,1
"10","1. gaudieb","Pernilles korte frøkenstand Komedie i 3 akter",3,1
"11","1. j�de","Ulysses von Ithacia eller En tysk komedie",1,1
"12","1. komediant","Hekseri eller blind alarm Komedie i 5 akter",30,1
"13","1. kvinde","Sganarels rejse til det filosofiske land Komedie i 1 akt hvori skæmtes med de gamle filosofiske sekter",16,1
"14","1. mand","Barselsstuen Komedie, Hekseri eller blind alarm Komedie i 5 akter",15,2
"15","1. officer","Barselsstuen Komedie",10,1
"16","1. pige","Barselsstuen Komedie, Den politiske kandestøber Komedie, Det lykkelige skibbrud Komedie i 5 akter, Hekseri eller blind alarm Komedie i 5 akter, Melampe Tragikomedie, Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",111,6
"17","1. r�dsherre","Den pantsatte bondedreng Komedie i 3 akter",29,1
"18","1. r�dsherreinde","Den politiske kandestøber Komedie",1,1
"19","1. soldat","Hekseri eller blind alarm Komedie i 5 akter",5,1
"20","1. v�rt","Den pantsatte bondedreng Komedie i 3 akter",5,1
"21","1. vagt","Hekseri eller blind alarm Komedie i 5 akter",5,1
"22","2 v�gter","Den 11. juni",2,1
"23","2.","Den politiske kandestøber Komedie",3,1
"24","2. advokat","Barselsstuen Komedie, Den politiske kandestøber Komedie, Jeppe på Bjerget eller Den forvandlede bonde",34,3
"25","2. bonde","Melampe Tragikomedie",10,1
"26","2. dame","Barselsstuen Komedie",30,1
"27","2. doktor","Jeppe på Bjerget eller Den forvandlede bonde",7,1
"28","2. filosof","Sganarels rejse til det filosofiske land Komedie i 1 akt hvori skæmtes med de gamle filosofiske sekter",3,1
"29","2. gaudieb","Pernilles korte frøkenstand Komedie i 3 akter",4,1
"30","2. j�de","Ulysses von Ithacia eller En tysk komedie",11,1
"31","2. komediant","Hekseri eller blind alarm Komedie i 5 akter",14,1
"32","2. kvinde","Sganarels rejse til det filosofiske land Komedie i 1 akt hvori skæmtes med de gamle filosofiske sekter",16,1
"33","2. mand","Barselsstuen Komedie",2,1
"34","2. musikant","Den vægelsindede Komedie i 3 akter",1,1
"35","2. officer","Barselsstuen Komedie",26,1
"36","2. pige","Det lykkelige skibbrud Komedie i 5 akter, Hekseri eller blind alarm Komedie i 5 akter",21,2
"37","2. r�dsherre","Den pantsatte bondedreng Komedie i 3 akter",4,1
"38","2. soldat","Hekseri eller blind alarm Komedie i 5 akter",5,1
"39","2. v�rt","Den pantsatte bondedreng Komedie i 3 akter",5,1
"40","2. vagt","Hekseri eller blind alarm Komedie i 5 akter",2,1
"41","3 m�nd","Jeppe på Bjerget eller Den forvandlede bonde",6,1
"42","3. filosof","Sganarels rejse til det filosofiske land Komedie i 1 akt hvori skæmtes med de gamle filosofiske sekter",6,1
"43","3. gaudieb","Pernilles korte frøkenstand Komedie i 3 akter",2,1
"44","3. kvinde","Sganarels rejse til det filosofiske land Komedie i 1 akt hvori skæmtes med de gamle filosofiske sekter",29,1
"45","3. r�dsherre","Den pantsatte bondedreng Komedie i 3 akter",1,1
"46","�lleg�rd","Barselsstuen Komedie, Den vægelsindede Komedie, Ulysses von Ithacia eller En tysk komedie",31,3
"47","�sculapius","Nytårsprolog til en komedie Allerunderdanigst præsenteret af den hele danske bande 1723",1,1
"48","abelone","Barselsstuen Komedie, Den vægelsindede Komedie",37,2
"49","abrahams","Den politiske kandestøber Komedie",12,1
"50","abrahams og sanderus","Den politiske kandestøber Komedie",1,1
"51","advokaten","Den politiske kandestøber Komedie, Den stundesløse Komedie i 3 akter",29,2
"52","aesculapius","Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",14,1
"53","ammen","Barselsstuen Komedie",3,1
"54","anden k�bmand","Den 11. juni",3,1
"55","anden propriet�r","Den 11. juni",4,1
"56","anden r�dsherre","Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",5,1
"57","andreas","Det arabiske pulver Komedie",15,1
"58","anf�reren","Hekseri eller blind alarm Komedie i 5 akter",19,1
"59","anf�rerne","Ulysses von Ithacia eller En tysk komedie",2,1
